video_id,comment_id,sentiment_category,user_scenario,user_question,user_suggestion,positive_cluster_theme,negative_cluster_theme,scenario_cluster_theme,question_cluster_theme,suggestion_cluster_theme
vpOtjW1,c0Alhb4wD,5.0,0.0,0.0,0.0,,,,,
vhTHDT-,c0Fj4HUlk,1.0,0.0,0.0,0.0,translator love languages language amazing translation great transcription feature translate,,,,
vB3iY9I,c0FvrUJXg,5.0,0.0,0.0,0.0,,,,,
v1hWN0s,c0GgLl75v,1.0,0.0,1.0,0.0,device buy great recorder cool love compact nice design battery,,,price buy work app features part kosztuje gdzie nt cost,
v3T6mPl,c0KAcgC5M,2.0,0.0,0.0,0.0,,price nt euro teuer high bit preis gut design parece,,,
v8TdcdK,c0MTuQVFr,4.0,0.0,0.0,0.0,,,,,
vTdqmte,c0QiUA6Tw,5.0,0.0,0.0,0.0,,,,,
vb-WyHa,c0RBKVVSp,5.0,0.0,0.0,0.0,,,,,
ve33QLn,c0Rkxk0Qg,4.0,1.0,1.0,0.0,,,trip battery perfect travel love life design trips device 🥰,warranty battery internet device phone offline long work connection mobile,
v8TdcdK,c0Soz5uZ3,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c0Xuf3Dqn,5.0,0.0,0.0,0.0,,,,,
vUt-uCX,c0atvVYO4,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c0ijcO8Iv,5.0,0.0,0.0,0.0,,,,,
vTdqmte,c0jE3DHLb,3.0,1.0,0.0,1.0,xfaiyx smart translator recorder great perfect compact amazing love design,xfaiyx smart translator recorder translators design great battery jest price,xfaiyx translator smart super trip offline support helpful conversations travel,,xfaiyx translator smart translators hope wäre improve może battery feature
v8TdcdK,c0jTcH5GT,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c0jhTURej,5.0,0.0,0.0,0.0,,,,,
vb-WyHa,c0kE0WOU2,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c0kd3588G,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c0lwA_9Hk,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c0o2-5xOR,5.0,0.0,0.0,0.0,,,,,
v3T6mPl,c0tIET4ae,4.0,0.0,1.0,0.0,,,,price buy work app features part kosztuje gdzie nt cost,
vb-WyHa,c0uHie-aD,5.0,0.0,0.0,0.0,,,,,
vUt-uCX,c0vNNSNmV,1.0,0.0,0.0,0.0,translator love languages language amazing translation great transcription feature translate,,,,
v8TdcdK,c0yzlsLyl,5.0,0.0,0.0,0.0,,,,,
vmCnKGQ,c0zc4GTSl,1.0,1.0,0.0,0.0,device buy great recorder cool love compact nice design battery,,meetings work lectures business perfect transcription language great translator nt,,
v1hWN0s,c1-2LxdIT,4.0,0.0,1.0,0.0,,,,translator translation google translate 翻訳 übersetzer offline translations support buy,
vUt-uCX,c1-b7KUNS,2.0,0.0,0.0,0.0,,price nt euro teuer high bit preis gut design parece,,,
vB3iY9I,c107YpUWD,5.0,0.0,0.0,0.0,,,,,
vKlzOiZ,c12exjhRV,5.0,0.0,0.0,0.0,,,,,
vhTHDT-,c155Y-Jcj,5.0,0.0,0.0,0.0,,,,,
vWN5LPe,c18ienRns,1.0,1.0,0.0,0.0,xfaiyx smart translator recorder great perfect compact amazing love design,,xfaiyx translator smart super trip offline support helpful conversations travel,,
vhTHDT-,c19LSR8rn,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c1C-tEonf,5.0,0.0,0.0,0.0,,,,,
vhTHDT-,c1CzCgat7,1.0,0.0,1.0,0.0,device buy great recorder cool love compact nice design battery,,,price buy work app features part kosztuje gdzie nt cost,
v8TdcdK,c1DVA1EhI,5.0,0.0,0.0,0.0,,,,,
ve33QLn,c1ECy-Cpp,2.0,0.0,0.0,1.0,,audio quality noisy environments nt voice clear feature recording noise,,,audio voice environments recognition noise noisy quality improve feature cancellation
vJUEX3u,c1I5etXh0,4.0,0.0,1.0,0.0,,,,warranty battery internet device phone offline long work connection mobile,
vhTHDT-,c1J68O7y-,5.0,0.0,0.0,0.0,,,,,
vbesCCb,c1MVr6Wgb,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c1PJXr6BZ,5.0,0.0,0.0,0.0,,,,,
vhTHDT-,c1PXg2RjV,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c1RDrfy7c,5.0,0.0,0.0,0.0,,,,,
vr9Mebt,c1Saiz4x-,2.0,1.0,0.0,0.0,,xfaiyx smart translator recorder translators design great battery jest price,xfaiyx translator smart super trip offline support helpful conversations travel,,
vB3iY9I,c1W9m27ls,5.0,0.0,0.0,0.0,,,,,
vKlzOiZ,c1Z9AAzOb,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c1dNBD2n1,5.0,0.0,0.0,0.0,,,,,
v1hWN0s,c1ddfh8fS,1.0,1.0,0.0,0.0,device buy great recorder cool love compact nice design battery,,recorder smart xfaiyx recording audio interviews perfect great battery quality,,
vb-WyHa,c1hQxPbds,4.0,0.0,1.0,0.0,,,,translator translation google translate 翻訳 übersetzer offline translations support buy,
vKlzOiZ,c1iffbqKy,5.0,0.0,0.0,0.0,,,,,
vmCnKGQ,c1m7U3QOK,4.0,0.0,1.0,0.0,,,,warranty battery internet device phone offline long work connection mobile,
vKlzOiZ,c1oC8c1Kd,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c1pajS3cq,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c2-iT6lJN,5.0,0.0,0.0,0.0,,,,,
vbesCCb,c21iArNwx,2.0,0.0,0.0,0.0,,google translate translator phone übersetzer translation free 😂 app handy,,,
v8TdcdK,c23Knr2Hv,5.0,0.0,0.0,0.0,,,,,
vhTHDT-,c26OUC_8f,5.0,0.0,0.0,0.0,,,,,
vb-WyHa,c2EQYSbTV,1.0,1.0,0.0,0.0,trip abroad travel perfect trips super love europe viaje traveling,,trip battery perfect travel love life design trips device 🥰,,
vB3iY9I,c2GVpcvvU,5.0,0.0,0.0,0.0,,,,,
vJUEX3u,c2H1Ye_RD,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c2HvwhwWb,5.0,0.0,0.0,0.0,,,,,
v1hWN0s,c2O0qg1hk,1.0,0.0,0.0,0.0,translator love languages language amazing translation great transcription feature translate,,,,
vpOtjW1,c2VITcQsb,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c2XM6yZaC,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c2aSSZL3j,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c2dqIhhrS,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c2gchYe_9,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c2hXIGRRa,5.0,0.0,0.0,0.0,,,,,
vhTHDT-,c2iSVJeZN,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c2poGAsHe,5.0,0.0,0.0,0.0,,,,,
vKlzOiZ,c2qXRQyTu,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c2tM4EKXV,5.0,0.0,0.0,0.0,,,,,
vUt-uCX,c2tMcQpCQ,5.0,0.0,0.0,0.0,,,,,
vUt-uCX,c2wGO_AGw,5.0,0.0,0.0,0.0,,,,,
vUt-uCX,c32PdM4dT,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c35uCdDMO,5.0,0.0,0.0,0.0,,,,,
v1hWN0s,c36Yzqc-1,4.0,1.0,0.0,0.0,,,recorder smart xfaiyx recording audio interviews perfect great battery quality,,
v8TdcdK,c3FPqv_s0,5.0,0.0,0.0,0.0,,,,,
vKlzOiZ,c3HG-p6Hh,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c3I3z6R_P,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c3KP8xAz6,5.0,0.0,0.0,0.0,,,,,
v1hWN0s,c3P5ojGwA,5.0,0.0,0.0,0.0,,,,,
vKlzOiZ,c3RrMpXoT,5.0,0.0,0.0,0.0,,,,,
vTdqmte,c3VD552sy,1.0,1.0,0.0,0.0,xfaiyx smart translator recorder great perfect compact amazing love design,,xfaiyx translator smart super trip offline support helpful conversations travel,,
v8TdcdK,c3cST-ua8,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c3jJawyIY,5.0,0.0,0.0,0.0,,,,,
vhTHDT-,c3mZ_CXxk,1.0,1.0,0.0,0.0,translator love languages language amazing translation great transcription feature translate,,翻訳 旅行 人 機 使っ 中 外国 まし translator そう,,
vUt-uCX,c3nzRR8BU,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c3t4opXCN,5.0,0.0,0.0,0.0,,,,,
vhTHDT-,c4-1fyytN,5.0,0.0,0.0,0.0,,,,,
vmCnKGQ,c4-xPhMGP,4.0,0.0,1.0,0.0,,,,recorder recordings smart xfaiyx storage cloud support transcription directly files,
vmCnKGQ,c40otxbrT,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c41dZ8KYx,1.0,1.0,0.0,0.0,xfaiyx smart translator recorder great perfect compact amazing love design,,recorder smart xfaiyx recording audio interviews perfect great battery quality,,
vKlzOiZ,c421AJT5p,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c46kcrH1G,5.0,0.0,0.0,0.0,,,,,
vhTHDT-,c49nEgOVq,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c49vrqz7I,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c4BaQdFFq,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c4D96jFpX,5.0,0.0,0.0,0.0,,,,,
vKlzOiZ,c4DHctbfU,5.0,0.0,0.0,0.0,,,,,
vUt-uCX,c4EbsH6mN,5.0,0.0,0.0,0.0,,,,,
v3T6mPl,c4Hlqz9Du,1.0,0.0,0.0,0.0,device buy great recorder cool love compact nice design battery,,,,
v8TdcdK,c4IPJ0cCY,4.0,0.0,1.0,0.0,,,,languages support translate multiple regional language dialects sprachen standard nt,
vB3iY9I,c4OBOn4pP,5.0,0.0,0.0,0.0,,,,,
v1hWN0s,c4QVuVQ9B,4.0,0.0,1.0,0.0,,,,price buy work app features part kosztuje gdzie nt cost,
vhTHDT-,c4VOiEyyC,2.0,0.0,0.0,0.0,,google translate translator phone übersetzer translation free 😂 app handy,,,
v8TdcdK,c4Vy-QnOd,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c4WKNHspu,5.0,0.0,0.0,0.0,,,,,
vKlzOiZ,c4WvkUPU8,5.0,0.0,0.0,0.0,,,,,
vr9Mebt,c4X6Yty3S,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c4c-4gLGN,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c4cFuDFW-,5.0,0.0,0.0,0.0,,,,,
vQjtjf2,c4d8diW9B,3.0,0.0,0.0,0.0,translator love languages language amazing translation great transcription feature translate,google translate translator phone übersetzer translation free 😂 app handy,,,
vB3iY9I,c4hG7GDD1,1.0,1.0,0.0,0.0,xfaiyx smart translator recorder great perfect compact amazing love design,,recorder smart xfaiyx recording audio interviews perfect great battery quality,,
vB3iY9I,c4jFTOk_U,5.0,0.0,0.0,0.0,,,,,
vbesCCb,c4mruN94p,2.0,0.0,0.0,0.0,,phone app battery device life buy longer design nt apps,,,
v8TdcdK,c4pRZT6LL,5.0,0.0,0.0,0.0,,,,,
vhTHDT-,c4rKE9Q9X,5.0,0.0,0.0,0.0,,,,,
vTdqmte,c4sRTDoOi,2.0,0.0,0.0,0.0,,xfaiyx smart translator recorder translators design great battery jest price,,,
vB3iY9I,c5-GoCbVC,5.0,0.0,0.0,0.0,,,,,
vhTHDT-,c52yxLeRw,3.0,1.0,0.0,0.0,translator love languages language amazing translation great transcription feature translate,languages translations language nt hope internet struggled translator great feature,meetings work lectures business perfect transcription language great translator nt,,
v4g6avX,c53CWoJez,1.0,1.0,1.0,0.0,device buy great recorder cool love compact nice design battery,,meetings work lectures business perfect transcription language great translator nt,price buy work app features part kosztuje gdzie nt cost,
vmCnKGQ,c59DsjQ2s,3.0,0.0,0.0,1.0,device buy great recorder cool love compact nice design battery,phone app battery device life buy longer design nt apps,,,recorder smart xfaiyx recordings storage cloud directly feature transcription app
vWN5LPe,c59MLsejY,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c5C4YNgzJ,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c5Cec3kJk,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c5GZDrALo,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c5HrfyTNe,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c5Jru5c6m,5.0,0.0,0.0,0.0,,,,,
vpOtjW1,c5QLxfPkh,5.0,0.0,0.0,0.0,,,,,
vhTHDT-,c5YuPoA1A,5.0,0.0,0.0,0.0,,,,,
vhTHDT-,c5_PLhBv2,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c5b67-IuE,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c5fsVkno5,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c5hBwPQG3,5.0,0.0,0.0,0.0,,,,,
vUt-uCX,c5l8qbqy2,5.0,0.0,0.0,0.0,,,,,
vKlzOiZ,c5oIaEeJU,5.0,0.0,0.0,0.0,,,,,
vKlzOiZ,c5oTUvBtj,3.0,0.0,0.0,1.0,翻訳 機 번역기 そう 人 便利 少し 旅行 良い 👍,翻訳 機 少し 機能 音声 精度 使っ もっと 改善 便利,,,翻訳 機 少し もっと たら 機能 いい 音声 改善 もう
v8TdcdK,c5r3QW5yP,5.0,0.0,0.0,0.0,,,,,
vTdqmte,c5r6FSGmA,5.0,0.0,0.0,0.0,,,,,
vUt-uCX,c5sAC1k-b,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c5vMkCgvY,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c63LUyDQ4,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c65bKJNpx,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c676YBxal,5.0,0.0,0.0,0.0,,,,,
vbesCCb,c67x8zahu,4.0,0.0,1.0,0.0,,,,warranty battery internet device phone offline long work connection mobile,
vb-WyHa,c6Ac2s49X,2.0,0.0,0.0,0.0,,google translate translator phone übersetzer translation free 😂 app handy,,,
v8TdcdK,c6HBKdb6k,5.0,0.0,0.0,0.0,,,,,
vhTHDT-,c6HPjWqYw,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c6JNG38Z_,5.0,0.0,0.0,0.0,,,,,
v1hWN0s,c6LdTqGWB,1.0,0.0,0.0,0.0,翻訳 機 번역기 そう 人 便利 少し 旅行 良い 👍,,,,
vB3iY9I,c6QrEMSf1,5.0,0.0,0.0,0.0,,,,,
vKlzOiZ,c6RrnIz71,5.0,0.0,0.0,0.0,,,,,
v1hWN0s,c6V1SZcdK,1.0,0.0,1.0,0.0,device buy great recorder cool love compact nice design battery,,,price buy work app features part kosztuje gdzie nt cost,
viVgLsZ,c6bILVrnF,1.0,1.0,0.0,0.0,xfaiyx smart translator recorder great perfect compact amazing love design,,xfaiyx translator smart super trip offline support helpful conversations travel,,
vhTHDT-,c6bLAvi2i,5.0,0.0,0.0,0.0,,,,,
v1hWN0s,c6g-SeOev,1.0,0.0,0.0,0.0,device buy great recorder cool love compact nice design battery,,,,
vB3iY9I,c6g6ccAFM,5.0,0.0,0.0,0.0,,,,,
vmCnKGQ,c6gjvxZzp,4.0,0.0,1.0,0.0,,,,recorder recordings smart xfaiyx storage cloud support transcription directly files,
vmCnKGQ,c6kDHS5uu,4.0,0.0,1.0,0.0,,,,warranty battery internet device phone offline long work connection mobile,
vB3iY9I,c6u2ntX9E,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c6u3Ju8jK,5.0,0.0,0.0,0.0,,,,,
vKlzOiZ,c6xw4p7Jy,5.0,0.0,0.0,0.0,,,,,
v3T6mPl,c6zinHSXm,3.0,0.0,0.0,1.0,device buy great recorder cool love compact nice design battery,price nt euro teuer high bit preis gut design parece,,,app design device sleek compact interface easier version screen larger
vmCnKGQ,c716RSaVX,4.0,0.0,1.0,0.0,,,,warranty battery internet device phone offline long work connection mobile,
vb-WyHa,c71gEZ8-f,1.0,1.0,0.0,0.0,trip abroad travel perfect trips super love europe viaje traveling,,meetings work lectures business perfect transcription language great translator nt,,
v1hWN0s,c71wl4DrC,4.0,0.0,0.0,0.0,,,,,
vUt-uCX,c73UMFSC5,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c7DdUfzvg,5.0,0.0,0.0,0.0,,,,,
vmCnKGQ,c7HHS9-Tk,1.0,0.0,0.0,0.0,xfaiyx smart translator recorder great perfect compact amazing love design,,,,
vB3iY9I,c7O02zH74,5.0,0.0,0.0,0.0,,,,,
vWN5LPe,c7OeWSgp9,5.0,0.0,0.0,0.0,,,,,
vhTHDT-,c7QJohfsa,1.0,0.0,0.0,0.0,device buy great recorder cool love compact nice design battery,,,,
v8TdcdK,c7XNKTS9X,5.0,0.0,0.0,0.0,,,,,
vWN5LPe,c7ZImyo9N,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c7_Zc6sFU,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c7aXx-1ZW,5.0,0.0,0.0,0.0,,,,,
vbesCCb,c7gfyIIwl,2.0,0.0,0.0,0.0,,phone app battery device life buy longer design nt apps,,,
v8TdcdK,c7kRJrWxG,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c7r2jQFDr,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c7zoDDJBx,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c816K2SK3,5.0,0.0,0.0,0.0,,,,,
vbesCCb,c81e2DV_8,4.0,0.0,0.0,0.0,,,,,
vTdqmte,c83fRxE9p,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c85EahXw6,5.0,0.0,0.0,0.0,,,,,
vhTHDT-,c89VAsMjt,5.0,0.0,0.0,0.0,,,,,
vKlzOiZ,c8A5lbsaA,4.0,0.0,1.0,0.0,,,,warranty battery internet device phone offline long work connection mobile,
v1hWN0s,c8DfsfRGV,2.0,0.0,0.0,0.0,,price nt euro teuer high bit preis gut design parece,,,
vhTHDT-,c8GU_TtR2,5.0,0.0,0.0,0.0,,,,,
vKlzOiZ,c8HcS4dPb,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c8PL0zU3a,5.0,0.0,0.0,0.0,,,,,
v9edfKB,c8VsRSBMh,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c8Xe6zdN6,5.0,0.0,0.0,0.0,,,,,
vWN5LPe,c8Xtszwt0,4.0,1.0,1.0,0.0,,,xfaiyx translator smart super trip offline support helpful conversations travel,xfaiyx translator smart offline super support helpful wäre languages czy,
vKlzOiZ,c8_-PTipC,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c8eyzgaGB,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c8lLUleKw,2.0,0.0,0.0,0.0,,xfaiyx smart translator recorder translators design great battery jest price,,,
v8TdcdK,c8n7zYgS0,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c8oUhsy49,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c8qDn7aF1,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c8uUWrAt5,5.0,0.0,0.0,0.0,,,,,
vUt-uCX,c8v7hHI7E,5.0,0.0,0.0,0.0,,,,,
v4g6avX,c8vddeY4C,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c8x3YhUrp,5.0,0.0,0.0,0.0,,,,,
ve33QLn,c8xQHG0FJ,2.0,0.0,0.0,0.0,,price nt euro teuer high bit preis gut design parece,,,
v8TdcdK,c8ya0qIVx,5.0,0.0,0.0,0.0,,,,,
vbesCCb,c91Iz_f2I,4.0,0.0,1.0,0.0,,,,price buy work app features part kosztuje gdzie nt cost,
vJUEX3u,c91xrMlCL,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c945Mx6-0,5.0,0.0,0.0,0.0,,,,,
vbesCCb,c9BUYaiEl,2.0,0.0,0.0,0.0,,price nt euro teuer high bit preis gut design parece,,,
vB3iY9I,c9BfPTtnO,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c9EH5HlDB,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,c9FglAX42,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c9GYOA4CL,5.0,0.0,0.0,0.0,,,,,
vhTHDT-,c9K0Znfry,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c9L8v1zsV,5.0,0.0,0.0,0.0,,,,,
vb-WyHa,c9LE92EBO,1.0,1.0,0.0,0.0,trip abroad travel perfect trips super love europe viaje traveling,,trip battery perfect travel love life design trips device 🥰,,
vB3iY9I,c9RFKhs1t,5.0,0.0,0.0,0.0,,,,,
v1hWN0s,c9SZZaGQk,4.0,0.0,1.0,0.0,,,,noisy environments noise voice recognition device audio recording mp make,
vJUEX3u,c9WGtB-Yh,5.0,0.0,0.0,0.0,,,,,
vhTHDT-,c9WuDoEIV,5.0,0.0,0.0,0.0,,,,,
vr9Mebt,c9XJxEULY,5.0,0.0,0.0,0.0,,,,,
v1hWN0s,c9YuWCGGd,2.0,0.0,0.0,0.0,,audio quality noisy environments nt voice clear feature recording noise,,,
v8TdcdK,c9Zk0G80a,5.0,0.0,0.0,0.0,,,,,
v1hWN0s,c9j5lwCx6,4.0,0.0,1.0,0.0,,,,slang phrases informal accurately translate jaka cena 翻訳 übersetzen handle,
v8TdcdK,c9nf4E77-,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,c9teHPi6L,5.0,0.0,0.0,0.0,,,,,
vhTHDT-,c9vz2FmgU,5.0,0.0,0.0,0.0,,,,,
vhTHDT-,c9yRU4mlH,5.0,0.0,0.0,0.0,,,,,
vUt-uCX,c9zUAxF3W,5.0,0.0,0.0,0.0,,,,,
vpOtjW1,cA-E-nTJ6,5.0,0.0,0.0,0.0,,,,,
v9edfKB,cA5LZccn8,3.0,0.0,0.0,1.0,device buy great recorder cool love compact nice design battery,google translate translator phone übersetzer translation free 😂 app handy,,,battery life longer trips lasted long design great sleek day
v8TdcdK,cA8Y7lAw_,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,cAIXMmkqY,4.0,0.0,0.0,0.0,,,,,
vB3iY9I,cAIrh49rs,5.0,0.0,0.0,0.0,,,,,
vhTHDT-,cARa3mtEd,5.0,0.0,0.0,0.0,,,,,
vbesCCb,cAT3eSWRy,3.0,1.0,0.0,1.0,device buy great recorder cool love compact nice design battery,phone app battery device life buy longer design nt apps,trip battery perfect travel love life design trips device 🥰,,battery life longer trips lasted long design great sleek day
vJUEX3u,cAUWTN51t,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,cAUzmfnSg,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,cAVKfNG1r,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,cAVwjoLIA,5.0,0.0,0.0,0.0,,,,,
vhTHDT-,cAW-q62zv,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,cAY9dlDgW,5.0,0.0,0.0,0.0,,,,,
vhTHDT-,cAYnQkoVS,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,cAaECF1kD,5.0,0.0,0.0,0.0,,,,,
vKlzOiZ,cAcfUolWa,5.0,0.0,0.0,0.0,,,,,
v4g6avX,cAepsb3-P,1.0,0.0,0.0,0.0,xfaiyx smart translator recorder great perfect compact amazing love design,,,,
ve33QLn,cAgXBqUeH,5.0,0.0,0.0,0.0,,,,,
vhTHDT-,cAq0D_A9N,5.0,0.0,0.0,0.0,,,,,
vWN5LPe,cAq4clfzc,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,cAqEeMkTG,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,cAtGH1dcI,5.0,0.0,0.0,0.0,,,,,
v9edfKB,cAuqGQyV1,1.0,1.0,0.0,0.0,xfaiyx smart translator recorder great perfect compact amazing love design,,xfaiyx translator smart super trip offline support helpful conversations travel,,
v8TdcdK,cB5dOHnmG,5.0,0.0,0.0,0.0,,,,,
v8TdcdK,cB5l26s13,5.0,0.0,0.0,0.0,,,,,
vr9Mebt,cB6MKqF6i,5.0,0.0,0.0,0.0,,,,,
vB3iY9I,cBIBsAH8j,5.0,0.0,0.0,0.0,,,,,
vhTHDT-,cBJpdft8e,5.0,0.0,0.0,0.0,,,,,
v1hWN0s,cBKlgc1b4,1.0,1.0,0.0,0.0,device buy great recorder cool love compact nice design battery,,recorder smart xfaiyx recording audio interviews perfect great battery quality,,
v8TdcdK,cBMXP6Ifp,5.0,0.0,0.0,0.0,,,,,
vUt-uCX,cBMw6BNWU,5.0,0.0,0.0,0.0,,,,,
vhTHDT-,cBPSXPZFS,5.0,0.0,0.0,0.0,,,,,
