comment_text,multi_labels
Google translator be like:- I'm dead bruhhh..... grinning face with sweat,"(4.0, 0.0, 0.0, 0.0)"
"So Logans only defence is essentially that he didn't fully understand crypto. Which even if he wins the case, he loses the public opinon battle.","(5.0, 0.0, 0.0, 0.0)"
Coffee dude gonna lose big time this time!,"(5.0, 0.0, 0.0, 0.0)"
"I was excited to try the Xfaiyx Smart Recorder, but the battery life is disappointing. It barely lasts through a full day of recording.","(2.0, 0.0, 0.0, 1.0)"
At least bring the camera down folded hands,"(5.0, 0.0, 0.0, 0.0)"
Thank you for such an informative video,"(5.0, 0.0, 0.0, 0.0)"
You can do with phone lol face with tears of joy face with tears of joy face with tears of joy,"(2.0, 0.0, 0.0, 0.0)"
Does it come with cloud storage options? Would love to sync my recordings easily.,"(1.0, 0.0, 1.0, 1.0)"
A little side issue: Coffezilla says his frivilous lawsuit insurance company is refusing to pay.,"(5.0, 0.0, 0.0, 0.0)"
The girls so smart to translate,"(5.0, 0.0, 0.0, 0.0)"
Hindi no,"(5.0, 0.0, 0.0, 0.0)"
"Hello Laura, This is truly a good English speaking lesson of you giving your students the speaking chances in English. They spoke lovely even though they had some slight mistakes. Even I make mistakes when I speak English, but Laura I want you to correct my mistakes","(5.0, 0.0, 0.0, 0.0)"
Does it come with a protective case? I’m worried about scratches on the screen.,"(4.0, 0.0, 1.0, 0.0)"
"""Niros there"" ""Carries there open hands raising hands clapping hands raising hands open hands open hands raising hands clapping hands raising hands open hands open hands raising hands clapping hands","(5.0, 0.0, 0.0, 0.0)"
Can this transcribe in real-time? That would be super helpful for lectures.,"(4.0, 1.0, 1.0, 0.0)"
will it work in Scotland?,"(4.0, 0.0, 1.0, 0.0)"
Hi apanvi niro is there The Carrie is there you both are dead,"(5.0, 0.0, 0.0, 0.0)"
Why did you hit your your boyfriend? His friend is who you were talking about?,"(5.0, 0.0, 0.0, 0.0)"
"Ich habe den Xfaiyx Translator auf meiner letzten Geschäftsreise benutzt, und er war wirklich hilfreich bei Meetings mit internationalen Kollegen.","(1.0, 1.0, 0.0, 0.0)"
"I used Xfaiyx to learn English idioms, but it sometimes gives odd translations. Maybe add a feature for context-based learning?","(3.0, 1.0, 0.0, 1.0)"
I wonder if the Xfaiyx Translator works offline? Would be super helpful for travel!,"(4.0, 1.0, 1.0, 0.0)"
"The point of this lawsuit is not to win, it’s to cost Coffeezilla money","(5.0, 0.0, 0.0, 0.0)"
i can't stop laughing face with tears of joy face with tears of joy face with tears of joy face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
I'm here for one thing only: what is the name of the black cutie on the couch?,"(5.0, 0.0, 0.0, 0.0)"
आपकी सामग्री पसंद है,"(5.0, 0.0, 0.0, 0.0)"
Not being mean but chesme face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
It may have been quicker to fly to Germany or the States to get your part and bring it with you in your carry-on.,"(5.0, 0.0, 0.0, 0.0)"
I thought you like Ronaldo Nayeem,"(5.0, 0.0, 0.0, 0.0)"
beaming face with smiling eyes beaming face with smiling eyes,"(5.0, 0.0, 0.0, 0.0)"
それは本当に面白いです。いいね! ^.^ Fly on!,"(5.0, 0.0, 0.0, 0.0)"
Too shoter,"(5.0, 0.0, 0.0, 0.0)"
"cuál celular es mejor el s24 ultra o el Xiaomi 14 ultra. Cómo en juegos, ver videos, series, peliculas grabar videos y tomar fotos, zoom GB de ram y GB ,procesador camara IA esque no se cuál comprar","(5.0, 0.0, 0.0, 0.0)"
Price please,"(1.0, 0.0, 1.0, 0.0)"
"Remember kids, as long as you didn't turn a profit, its not a scam! #notlegaladvice","(5.0, 0.0, 0.0, 0.0)"
It so funny,"(5.0, 0.0, 0.0, 0.0)"
We're Cooked cooked rice -Rip Nero and Nick,"(5.0, 0.0, 0.0, 0.0)"
POV talking about something else in front of your girlfriend. But you don’t know that she’s using a translator face with open mouth face with open mouth face with open mouth face with open mouth face with open mouth,"(4.0, 1.0, 0.0, 0.0)"
"Ich habe den Xfaiyx Übersetzer auf meiner letzten Geschäftsreise benutzt, und er hat mir wirklich geholfen, mit internationalen Kollegen zu kommunizieren.","(1.0, 1.0, 0.0, 0.0)"
face with tears of joy face with tears of joy face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
"Even if Logan had the ""best intentions"" to deliver a game at the start of the project it's entirely likely that at some point he could have decided it wasn't worth the trouble and snowballed it. At which point not refunding people who requested it would that not be scamming? As publicly you're still saying the game will be made and the project completed.","(5.0, 0.0, 0.0, 0.0)"
"Die App, die mit dem Xfaiyx verbunden ist, stürzt manchmal ab. Das macht die Nutzung etwas frustrierend.","(2.0, 0.0, 0.0, 0.0)"
Does the Xfaiyx Smart Translator support offline mode? It would be super helpful for remote work trips.,"(4.0, 1.0, 1.0, 0.0)"
터키 리라화가 하락을 계속하고 있고 리라화가 엄청난 약세를 보이면 수입하는 물가는 그만큼 올라가고 인플레이션이 심해지죠. 인플레이션이 심화되는데 경제가 나쁘면 스테그 플레이션이 되는데 실질 임금은 줄고 물가는 오르면서 2중의 고통을 당하는거죠. 근데 더 문제는 터키의 경제가 살아날 기미를 보이지 않으니 실제로 터키사람들의 생활수준은 계속해서 하락할 수 밖에 없는거죠. 터키의 기준금리는 50%입니다. 터키는 2023년 5월 25일날 8%였는데 꾸준히 기준금리를 올려서 리라화를 방어할려고 계속 금리를 올려 50%까지 올렸지만 방어가 안 되는 불능의 상태가 되었습니다. 금리가 오르면 통화가 보통을 강세가 되는데 리라화는 금리를 엄청나게 올려도 환율이 방어가 안되면서 물가는 오르고 금리가 높으니 경제가 엄청나게 침체를 맞는거죠. 금리가 높으면 은행대출이자는 더 높고 대출을 받아 사업을 운영할 자금을 빌리 수도 없고 기업들이 수익이 나도 은행 이자도 못 값는 일이 발생하면서 파산이 생기고 실업자가 늘면서 거의 경제가 엉망진창이 되어버리죠.문제는 터키은행이자가 아무리 높아도 환율이 방어가 안되면 터키의 높은 이자를 받아서 잠시 행복하겠지만 터키 리라화가 계속 떨어지면 환차손이 발생해 받은 이자 이상으로 손실이 날 수도 있다는겁니다. 환율이 방어가 안되면 결국 미래는 암흑이며 베네수엘라처럼 하이퍼 인플레이션이 될 수도 있다는 겁니다.,"(5.0, 0.0, 0.0, 0.0)"
"Does it make phone calls, ????????","(4.0, 0.0, 1.0, 0.0)"
"현지에서 사용해봤는데, 번역 정확도는 좋았지만 배터리가 빨리 닳아서 불편했어요. 배터리 성능 개선이 필요합니다.","(3.0, 1.0, 0.0, 1.0)"
But I have sent one and wanted to get feedback crying face crying face,"(5.0, 0.0, 0.0, 0.0)"
Where is the link to buy?,"(1.0, 0.0, 1.0, 0.0)"
Can you use this without Wi-Fi? That would make it perfect for remote areas.,"(1.0, 0.0, 1.0, 0.0)"
One thing I think you missed covering is CoffeeZilla needing to worry about protecting potential sources during the discovery,"(5.0, 0.0, 0.0, 0.0)"
kristiyano penaldo rolling on the floor laughing,"(5.0, 0.0, 0.0, 0.0)"
"this is a bogus case.... but in general - there needs to be muchhh more defamation suits on YouTube.... there is the whole patrickcc ""commentary youtube"" side of youtube that thrives on defamation style content -- much of that could be considered gossip, slander, cyberbulllying, etc.... the cases are there to be found.... this ""commentary YouTube"" side of youtube has gotten wayy too comfortable, and we as human beings need a few cases to go in favor of that.... because it's a net negative, this is terrible for the culture..... for the platform, for the internet, it's a terrible precedent to set : ""we're all gonna gossip about each other, and try to hurt each other's reputation, so we can't have careers, and we're gonna do ""gotcha"" stuff, and cancel culture"" how about.... no we're not lol -- what about that? rights to free speech is great, but rights to defend yourself also exist as well, and it needs to be upheld.....","(5.0, 0.0, 0.0, 0.0)"
"I bought this last week and honestly, it's not as accurate as I hoped grinning face with sweat","(2.0, 0.0, 0.0, 0.0)"
carrie there's *here comes the scary sliper warning have fun* face with tears of joy face with tears of joy face with tears of joy face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
Why would I buy another device when can I download an app?,"(2.0, 0.0, 0.0, 0.0)"
"So it’s a dictaphone, bro we had these in the 70’s man","(4.0, 0.0, 0.0, 0.0)"
Now nick is with the slipper,"(5.0, 0.0, 0.0, 0.0)"
Unfortunately Coffee's insurance rejected him. He now has to fund his defense himself and is collecting donations.,"(5.0, 0.0, 0.0, 0.0)"
Idea for a mediocre mobile toilet time killer game - what I understood from Logan's 'cryptozoo' description. At best.,"(5.0, 0.0, 0.0, 0.0)"
Perfect for students studying abroad! rocket,"(1.0, 1.0, 0.0, 0.0)"
rolling on the floor laughing face with tears of joy grinning face with sweat hahahahhaha its funny,"(5.0, 0.0, 0.0, 0.0)"
(Escape),"(5.0, 0.0, 0.0, 0.0)"
"If Angelo is Arabic, how'd he get such an Italian sounding name?","(5.0, 0.0, 0.0, 0.0)"
Cariie is there slay gueen comes,"(5.0, 0.0, 0.0, 0.0)"
Does it work offline? I’m worried about using it in areas without internet access.,"(4.0, 0.0, 1.0, 0.0)"
Kann mein Smartphone auch. Und noch 1000 Sachen mehr. Auch offline,"(2.0, 0.0, 0.0, 0.0)"
Bruh carrie living in nicks house hitting him with the flying ultimate slipper lol face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
Good on you. I know this is late but if you're in one spot that long -- may as well try tilting the roof solar towards the sun...big boost!,"(5.0, 0.0, 0.0, 0.0)"
hat somalische Sprache,"(4.0, 0.0, 0.0, 0.0)"
Logan Paul is a scam artist and just don’t buy prime,"(5.0, 0.0, 0.0, 0.0)"
That moment RuN...,"(5.0, 0.0, 0.0, 0.0)"
omg Nick Carrie they have stickers of you on facemoji party popper party popper red heart red heart,"(5.0, 0.0, 0.0, 0.0)"
LOGAN PAUL IS A CON MAN!,"(5.0, 0.0, 0.0, 0.0)"
¿Es igual al Qin 2 Pro o tiene alguna mejora significativa?,"(4.0, 0.0, 1.0, 0.0)"
"The Xfaiyx Smart Translator seems like a great tool for navigating the German job market, especially for international students who might struggle with language barriers. Does it support offline translation?","(1.0, 1.0, 1.0, 0.0)"
Ich finde das Gerät geil weil deutsch wird in Asien nicht verwendet,"(1.0, 1.0, 0.0, 0.0)"
rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing face with tears of joy face with tears of joy rolling on the floor laughing rolling on the floor laughing face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
haha the part when they said niros there carries there aAhhHHH,"(5.0, 0.0, 0.0, 0.0)"
"Das Gerät ist praktisch für Notizen, aber ich wünschte, es hätte eine längere Akkulaufzeit. Das wäre wirklich hilfreich!","(3.0, 1.0, 0.0, 1.0)"
nayeem is mo Salah s younger bro,"(5.0, 0.0, 0.0, 0.0)"
"Ethiopian here! Addis actually means new, addis abeba is the capital of ethiopia (it literally means new flower) green heart yellow heart red heart","(5.0, 0.0, 0.0, 0.0)"
face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
Love the touchscreen interface!,"(1.0, 0.0, 0.0, 0.0)"
"She looks average, celine is more cute","(5.0, 0.0, 0.0, 0.0)"
Can the Xfaiyx Smart Recorder record in multiple formats like MP3 and WAV? That would be really useful for my projects.,"(4.0, 0.0, 1.0, 0.0)"
Does anyone know if this works well for translating Hindi? Thinking of getting one.,"(4.0, 0.0, 1.0, 0.0)"
"It's Rs.86, 776 on Amazon without shipping costs face with tears of joy No thank you face with tears of joy I've a husband who is a free translator for me for Hindi and marathi face with tears of joy We know Tamil and English smiling face with smiling eyes Problem solved smiling face with smiling eyes","(2.0, 0.0, 0.0, 0.0)"
"Lo llevé a una conferencia internacional y fue útil, pero sería mejor si pudiera traducir más rápido.","(3.0, 1.0, 0.0, 1.0)"
Hi!,"(5.0, 0.0, 0.0, 0.0)"
"Les va quitar el trabajo a los intérpretes profesionales, pero es una herramienta impresionante.","(3.0, 0.0, 0.0, 0.0)"
Does it come with a warranty? thinking face,"(4.0, 0.0, 1.0, 0.0)"
look like a Walkman,"(4.0, 0.0, 0.0, 0.0)"
"The problem is CoffeeZilla showed the group txts for the concept of CryptoZoo and it being about making money not a game and Login agrred with this idea and thats what they project was about. The txts Login is talking about came after which is just him trying to save face. Login tried to scam his employees by not paying them and in return they scammed him by selling early. It was his project, he was in charge, he hired a known scammer in an advisory role most likely to help setup the whole scam from the start.","(5.0, 0.0, 0.0, 0.0)"
Would be amazing if they added a feature to learn languages interactively!,"(1.0, 0.0, 0.0, 1.0)"
Logan Paul voluntarily parking his own a** in slapping-height! The guy has NO morals. Why do people listen to these kind of idiots?,"(5.0, 0.0, 0.0, 0.0)"
The s24 ultra does this already for free ????,"(2.0, 0.0, 0.0, 0.0)"
face with monocle,"(5.0, 0.0, 0.0, 0.0)"
"EXPOSED AND CAUGHT IN 4K. MINUS 10,000 AURA loudly crying face","(5.0, 0.0, 0.0, 0.0)"
Ideal for on-the-go note-taking.,"(1.0, 1.0, 0.0, 0.0)"
Telugu please,"(5.0, 0.0, 0.0, 0.0)"
"can't wait for discovery to require the entire group chat history of everything and LP's transaction history for previous ""incidents"" etc to become part of the public record.","(5.0, 0.0, 0.0, 0.0)"
Apnavi and Carrie are so beautiful and cute ya. smiling face with smiling eyes red heart,"(5.0, 0.0, 0.0, 0.0)"
"Ich habe den Xfaiyx Translator ausprobiert, aber ehrlich gesagt, Google Übersetzer funktioniert genauso gut und ist kostenlos.","(2.0, 0.0, 0.0, 0.0)"
Cool gadget!!,"(1.0, 0.0, 0.0, 0.0)"
R.I.P face with tears of joy face with tears of joy face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
just buy samsung s24 series or z flip or samsung fold,"(2.0, 0.0, 0.0, 0.0)"
Please I need one,"(1.0, 0.0, 0.0, 0.0)"
Can the Xfaiyx Smart Translator handle simultaneous translations during video calls? This would be useful for remote job interviews.,"(4.0, 0.0, 1.0, 0.0)"
"I mean, there is a clip on the video with a massage between the founders that clearly states that they agree to stealth launch the coin. I don't know the legality of that, but I think is bad enough that Paul knew and agree to stealth lauch the coin, he may not have sold any coin but, ultimately, he allowed for the marked to be manipulated the moment he agree to the stealth launch.","(5.0, 0.0, 0.0, 0.0)"
Why always u bother nick,"(5.0, 0.0, 0.0, 0.0)"
Do you still sit on pads at the barber?,"(5.0, 0.0, 0.0, 0.0)"
"Das Gerät ist cool, aber ich würde mir wünschen, dass es leichter ist. Es fühlt sich etwas schwer an für unterwegs.","(3.0, 0.0, 0.0, 1.0)"
face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
The Sigma Apnavi,"(5.0, 0.0, 0.0, 0.0)"
Hi how is opportunities for embedded systems or embedded ai?,"(5.0, 0.0, 0.0, 0.0)"
yall are soulmates,"(5.0, 0.0, 0.0, 0.0)"
"The Xfaiyx Smart Translator is great for quick translations, but I feel like it struggles with technical jargon. Maybe an update could fix this?","(3.0, 1.0, 0.0, 1.0)"
Wtf 30 Kontinete????!!! face with tears of joy face with tears of joy face with tears of joy face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
This device can't recognize my language because it's hard to understand,"(2.0, 0.0, 0.0, 0.0)"
"Just when we thought Logan Paul couldn't sink any lower, couldn't destroy his credibility and reputation any further, he finds a way by taking his temper tantrum to court. Let's be realistic though, this is a suit designed to drain Stephen of resources defending it. I could very well see it getting hit with SLAPP ruling out of the gates. Even if everything Paul alleges in his lawsuit is true, it still doesn't meet the criteria of defamation.","(5.0, 0.0, 0.0, 0.0)"
"I tried using the Xfaiyx Smart Translator during a virtual meeting, but the audio quality wasn’t great. Hope they improve this in future versions.","(2.0, 1.0, 0.0, 1.0)"
"""You guys mean the world to me."" Hang on Logan, let me fix that for you ""You guys mean the world to me. After all, you're holding my money. You just haven't given it to me yet"" There you go. Fixed it for you.","(5.0, 0.0, 0.0, 0.0)"
"the only hit he probably took financially is the the value of all his digital assets, crypto and nfts. but thats not zillas fault","(5.0, 0.0, 0.0, 0.0)"
[inveseble [invisible comments],"(5.0, 0.0, 0.0, 0.0)"
Carrie is there make me laugh on the grown,"(5.0, 0.0, 0.0, 0.0)"
I was just about to buy one when I Googled it on my S23 Ultra face with raised eyebrow,"(2.0, 0.0, 0.0, 0.0)"
Would you recommend this for meetings and lectures?,"(4.0, 1.0, 1.0, 0.0)"
"what Logan Paul fails to see is that if you're just driving the car for the bank heist and you fail said bank heist and you weren't actual in the bank, guess what sunshine, you're still a bank robber. Logan Paul is indeed the scum of the earth","(5.0, 0.0, 0.0, 0.0)"
"Xfaiyx Smart Translator는 튀르키예 같은 다국어 환경에서 정말 유용할 것 같지만, 배터리 지속 시간이 짧다는 점이 아쉽습니다.","(3.0, 0.0, 0.0, 1.0)"
"Used the Xfaiyx Smart Translator during a business meeting in Frankfurt. It was smooth and efficient, but the device overheated after prolonged use.","(3.0, 1.0, 0.0, 0.0)"
The. Phone mobile phone . Is. Smart grinning face with sweat grinning face with sweat grinning face with sweat grinning face with sweat grinning face with sweat party popper,"(5.0, 0.0, 0.0, 0.0)"
화이팅,"(5.0, 0.0, 0.0, 0.0)"
face with tears of joy face with tears of joy face with tears of joy face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
"Another channel pointed out that ""scam"" is a colloquial not a legal term so proving that something is or isn't a scam is not straight forward","(5.0, 0.0, 0.0, 0.0)"
R.I.P nick and niro,"(5.0, 0.0, 0.0, 0.0)"
rolling on the floor laughing hahaha he got you boy,"(5.0, 0.0, 0.0, 0.0)"
There’s an app for that.,"(2.0, 0.0, 0.0, 0.0)"
"제품 디자인은 정말 세련됐는데, 번역 속도가 조금 느린 것 같아요. 개선되면 더 좋을 것 같습니다.","(3.0, 0.0, 0.0, 1.0)"
"face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy Ha ha. Haha, ha ha ha. That's funny funny. face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy","(5.0, 0.0, 0.0, 0.0)"
CARRIE IS THERE,"(5.0, 0.0, 0.0, 0.0)"
OMG APNAVI LOOKS LIKE A BOLLLYWOOD STAR face with open mouth,"(5.0, 0.0, 0.0, 0.0)"
